Text
Moong Pakodi  +  2 Chai ( ARC )   69
Cheese Garlic Bread + Any ice crusher    99
French Fries +  2 Chai S ( ACR )     99 
Corn Masala Sandwich + Cold Coffee     109
Veg Steamed Momos + Any Mojito    120
Aloo Tikki  Burger + Fries + Ice Tea  Mojito    169
elaichi chai     20   40
paan chai      20   40
kesar chai    25    50
masala chai     25    50
Lemon Chai    25    50
Hot Coffee    20   40
Strong Hot Coffee   25    50
Chocolate Hot Coffee     25    50
(Sugar free  05 Extra)Cold Coffee    70
Strong Cold Coffee    90
Chocolate Cold Coffee    90
Brownie Cold Coffee    150
CSB Special Cold Coffee     170
Kulhad Pizza    130
Margherita Pizza    140
Corn Cheese Pizza   160
Farm House Pizza      135
Extra Cheese Loaded Pizza  230
(with cheese  20 extra )Veg Steamed Momos      69
Veg Fried Momos    89
Corn Cheese Momos Steamed  139
Paneer Momos Steamed   139
Paneer Momos Fried   159
Corn Cheese Momos Fried   169
Crunchy Momos    169
Chilly Gravy Momos    229
Allo Tikki Burger   60
Veg Burger     100
Veg CSB Special Burger     130
(with cheese  20 extra ) Red Sauce Pasta    150
Baked Cheese Pasta   170
(with cheese  20 extra )Plain Maggi     60
Double Masala Maggi    70
Tandoori Maggi    80
CSB Peri-Peri Tadka Maggi    90
Butter Cheese Maggie   110
(with cheese  20 extra )Corn Masala Sandwich    60
Bombay Kacha Sandwich   60
Mayo Delight Sandwich     60
Veggie Grilled Sandwich     70
Corn Mayo Sandwich     70
Desi Masala Sandwich     70
Paneer Bhurji Sandwich    80
Cheese Chutny Sandwich    80
Paneer Taka Tak Sandwich    90
(with cheese  20 extra )Maska Bun    35
Corn Chat     50
Cheese Garlic Bread  70
French Fries   80
Cheese Chilly Toast   80
Chessy Nugget  90
Peri-Peri French Fries    100
Extra Loaded Fries    130
Cheesy Fries      179
Strawberry Shake    70
Oreo Shake      90
Kitkate  Shake     120
Brownie Shake      150Classic Mojito      70
Chat Pata Mojito      70
Black Cobra Mojito     80Strawberry  60
